schemaname,table_name,row_count
public,AnalyticsDailyRollup,8
public,FeedbackEvent,0
public,IcpProfile,4
public,JobExecution,20
public,Lead,0
public,LeadDiscoveryRecord,0
public,LeadEnrichmentRecord,0
public,LeadFeatureSnapshot,0
public,LeadScorePrediction,0
public,MessageDraft,0
public,MessageSend,0
public,MessageVariant,0
public,ModelEvaluation,0
public,ModelVersion,1
public,OutboxEvent,0
public,QualificationRule,33
public,Session,0
public,TrainingLabel,0
public,TrainingRun,1
public,User,0
public,app_admins,2
public,business_evidence,2464
public,businesses,1301
public,job_requests,1
public,job_runs,1
public,search_tasks,27638
public,sources,638
