enum_name,value
DiscoveryProvider,GOOGLE_SEARCH
DiscoveryProvider,LINKEDIN_SCRAPE
DiscoveryProvider,COMPANY_SEARCH_FREE
DiscoveryProvider,APOLLO
DiscoveryProvider,BRAVE_SEARCH
DiscoveryProvider,GOOGLE_PLACES
DiscoveryRecordStatus,DISCOVERED
DiscoveryRecordStatus,DUPLICATE
DiscoveryRecordStatus,REJECTED
DiscoveryRecordStatus,ERROR
DiscoverySourceType,DIRECTORY
DiscoverySourceType,SMB_SITE
DiscoverySourceType,SOCIAL
DiscoverySourceType,MARKETPLACE
DiscoverySourceType,UNKNOWN
EnrichmentProvider,HUNTER
EnrichmentProvider,CLEARBIT
EnrichmentProvider,OTHER_FREE
EnrichmentProvider,PEOPLE_DATA_LABS
EnrichmentStatus,PENDING
EnrichmentStatus,COMPLETED
EnrichmentStatus,FAILED
EvaluationSplit,TRAIN
EvaluationSplit,VALIDATION
EvaluationSplit,TEST
FeedbackEventType,REPLIED
FeedbackEventType,MEETING_BOOKED
FeedbackEventType,DEAL_WON
FeedbackEventType,DEAL_LOST
FeedbackEventType,UNSUBSCRIBED
FeedbackEventType,BOUNCED
FeedbackSource,WEBHOOK
FeedbackSource,MANUAL
FeedbackSource,CRM_IMPORT
JobRunStatus,RUNNING
JobRunStatus,SUCCESS
JobRunStatus,FAILED
JobRunStatus,CANCELED
JobStatus,queued
JobStatus,running
JobStatus,completed
JobStatus,failed
LabelSource,FEEDBACK_EVENT
LabelSource,COLD_LEAD_TIMEOUT
LabelSource,MANUAL
LeadStatus,new
LeadStatus,processing
LeadStatus,enriched
LeadStatus,failed
LeadStatus,messaged
LeadStatus,replied
LeadStatus,cold
MessageApprovalStatus,PENDING
MessageApprovalStatus,APPROVED
MessageApprovalStatus,REJECTED
MessageApprovalStatus,AUTO_APPROVED
MessageChannel,EMAIL
MessageChannel,WHATSAPP
MessageSendStatus,QUEUED
MessageSendStatus,SENT
MessageSendStatus,DELIVERED
MessageSendStatus,REPLIED
MessageSendStatus,BOUNCED
MessageSendStatus,FAILED
ModelStage,SHADOW
ModelStage,ACTIVE
ModelStage,ARCHIVED
ModelType,LOGISTIC_REGRESSION
OutboxStatus,pending
OutboxStatus,processing
OutboxStatus,sent
OutboxStatus,failed
OutboxStatus,dead_letter
QualificationLogic,WEIGHTED
QualificationOperator,EQ
QualificationOperator,NEQ
QualificationOperator,GT
QualificationOperator,GTE
QualificationOperator,LT
QualificationOperator,LTE
QualificationOperator,IN
QualificationOperator,NOT_IN
QualificationOperator,CONTAINS
QualificationRuleType,WEIGHTED
QualificationRuleType,HARD_FILTER
ReplyClassification,INTERESTED
ReplyClassification,NOT_INTERESTED
ReplyClassification,OUT_OF_OFFICE
ReplyClassification,UNSUBSCRIBE
ScoreBand,LOW
ScoreBand,MEDIUM
ScoreBand,HIGH
SearchTaskStatus,PENDING
SearchTaskStatus,RUNNING
SearchTaskStatus,DONE
SearchTaskStatus,FAILED
SearchTaskStatus,SKIPPED
SearchTaskType,SERP_GOOGLE
SearchTaskType,SERP_GOOGLE_LOCAL
SearchTaskType,SERP_MAPS_LOCAL
SendProvider,RESEND
SendProvider,TRENGO
TrainingRunStatus,QUEUED
TrainingRunStatus,RUNNING
TrainingRunStatus,SUCCEEDED
TrainingRunStatus,FAILED
TrainingTrigger,MANUAL
TrainingTrigger,SCHEDULED
TrainingTrigger,FEEDBACK_THRESHOLD
aal_level,aal1
aal_level,aal2
aal_level,aal3
action,INSERT
action,UPDATE
action,DELETE
action,TRUNCATE
action,ERROR
buckettype,STANDARD
buckettype,ANALYTICS
buckettype,VECTOR
code_challenge_method,s256
code_challenge_method,plain
equality_op,eq
equality_op,neq
equality_op,lt
equality_op,lte
equality_op,gt
equality_op,gte
equality_op,in
factor_status,unverified
factor_status,verified
factor_type,totp
factor_type,webauthn
factor_type,phone
job_request_status,PENDING
job_request_status,RUNNING
job_request_status,SUCCESS
job_request_status,FAILED
job_request_status,CANCELED
job_request_type,DISCOVERY_SEED
job_request_type,DISCOVERY_RUN
job_state,created
job_state,retry
job_state,active
job_state,completed
job_state,cancelled
job_state,failed
oauth_authorization_status,pending
oauth_authorization_status,approved
oauth_authorization_status,denied
oauth_authorization_status,expired
oauth_client_type,public
oauth_client_type,confidential
oauth_registration_type,dynamic
oauth_registration_type,manual
oauth_response_type,code
one_time_token_type,confirmation_token
one_time_token_type,reauthentication_token
one_time_token_type,recovery_token
one_time_token_type,email_change_token_new
one_time_token_type,email_change_token_current
one_time_token_type,phone_change_token
